epoch,loss,val_loss
0,0.12168480455875397,0.124825119972229
1,0.11450997740030289,0.11781661212444305
2,0.1091698706150055,0.11894018948078156
3,0.1035141870379448,0.11963854730129242
0,0.12447602301836014,0.12836042046546936
0,0.09219354391098022,0.11855703592300415
1,0.03834700584411621,0.07579214870929718
2,0.026739655062556267,0.05784894898533821
3,0.017059875652194023,0.051658403128385544
4,0.010226697660982609,0.037689320743083954
5,0.006017033476382494,0.035277917981147766
6,0.003646336030215025,0.02777717262506485
7,0.0022938894107937813,0.024325331673026085
8,0.0018278956413269043,0.022550005465745926
9,0.001486838678829372,0.017099447548389435
0,0.2755676805973053,0.24230679869651794
1,0.24480241537094116,0.2431553602218628
2,0.24566762149333954,0.24392220377922058
3,0.2476726919412613,0.24019184708595276
0,674.431640625,496.4791259765625
1,348.50115966796875,240.42379760742188
2,144.9575958251953,100.12461853027344
3,51.70063400268555,38.212196350097656
4,18.626249313354492,19.167417526245117
5,9.068170547485352,12.019987106323242
6,5.41713285446167,8.104562759399414
7,3.6429214477539062,6.08830451965332
8,2.602005958557129,4.439609527587891
9,1.946055293083191,3.961122512817383
0,1.6497730016708374,3.4108450412750244
1,1.4305849075317383,3.037086248397827
2,1.2188119888305664,2.6931705474853516
3,1.0313234329223633,2.2417616844177246
4,0.9543778896331787,2.112851142883301
5,0.8191208839416504,2.0102667808532715
6,0.7330036759376526,1.8558052778244019
7,0.6877914071083069,1.8515586853027344
8,0.6484893560409546,1.7312991619110107
9,0.6235832571983337,1.544965147972107
10,0.5859233736991882,1.390984058380127
11,0.5466823577880859,1.3915879726409912
12,0.4993317425251007,1.3051230907440186
13,0.46917593479156494,1.1438006162643433
14,0.4626179337501526,1.3096507787704468
15,0.46265771985054016,1.3010238409042358
16,0.43581536412239075,1.2850232124328613
17,0.43924757838249207,1.1074559688568115
0,0.20649661123752594,0.25531941652297974
0,0.28638580441474915,0.3053183853626251
1,0.25747814774513245,0.2893596589565277
2,0.2339867204427719,0.2940812110900879
3,0.20501460134983063,0.29180559515953064
4,0.18316948413848877,0.27904239296913147
5,0.1558922529220581,0.2606359124183655
6,0.13948194682598114,0.2562342584133148
7,0.12242215126752853,0.2577013373374939
8,0.09068866074085236,0.23825836181640625
9,0.07416786998510361,0.2350797951221466
10,0.05674074962735176,0.21218591928482056
11,0.04214657470583916,0.20154258608818054
12,0.04019647464156151,0.20027722418308258
13,0.03564466908574104,0.18307942152023315
14,0.030107207596302032,0.18807166814804077
15,0.02833603136241436,0.18500478565692902
16,0.027444757521152496,0.19616571068763733
17,0.02757888101041317,0.19197790324687958
